29040
Total distace Travelled: 29040
52,587
193,608
140,626
9,686
30,741
179,741
126,752
128,781
150,784
160,804
90,859
147,888
89,933
135,955
259,952
291,965
336,893
456,906
444,925
432,800
288,764
293,761
334,745
257,706
264,664
377,678
475,670
509,571
425,524
273,512
220,484
127,438
12,427
107,363
207,292
216,260
298,239
365,350
405,361
415,345
387,399
523,400
527,443
556,469
598,385
574,283
541,69
580,152
617,179
634,0
637,253
661,230
698,76
711,24
716,52
722,35
707,273
698,322
761,323
801,313
806,389
850,344
857,426
888,467
891,503
975,512
949,419
949,235
962,154
990,180
934,82
923,212
835,82
832,679
828,708
858,623
946,645
988,777
966,817
980,879
959,891
909,839
817,877
796,902
741,899
731,855
752,787
750,746
654,723
637,642
653,515
706,439
763,449
452,226
474,146
477,43
402,27
162,17
75,32
21,25

28232
Total distace Travelled: 28232
263,602
245,536
203,526
6,532
28,500
90,487
148,475
174,454
251,450
244,420
305,422
322,461
355,462
313,324
31,326
88,292
85,371
9,374
69,400
33,427
1,184
19,179
122,19
149,34
221,121
369,21
385,81
408,210
453,118
462,54
485,149
500,182
490,243
509,256
513,127
620,133
640,34
660,4
803,55
780,309
739,396
678,407
538,451
470,514
460,541
402,569
334,674
360,717
389,703
195,706
179,715
242,740
263,744
98,748
13,754
249,798
253,806
82,867
7,965
260,961
226,982
480,957
461,939
461,908
569,929
582,947
618,823
649,801
690,842
725,813
738,804
770,800
799,834
821,946
806,978
863,931
856,924
903,933
993,882
850,648
882,641
870,610
881,563
897,470
923,477
922,283
974,142
992,91
999,149
988,348
816,441
794,551
751,684
736,699
714,689
705,657
689,759
575,761
624,593
60,652

